list_name,name,label
escolas,"f8220621","NOSSA SRª DA ANUNCIAÇÃO (VILA DE VIANA - 60 - Prov. 5)"
escolas,"4b3cc8cd","SANTA ANA E NOESA (? - 61 - Prov. 5)"
escolas,"2c26ff4d","Nossa srª de Fátima (? - 15 - Prov. 2)"
escolas,"11be8854","ESCOLA CARLOS MARIA (CERÂMICA - 58 - Prov. 5)"
escolas,"d33ec403","SANTOS BICUCO (MORRO BENTO - 68 - Prov. 5)"
escolas,"0ddcb7c1","ESCOLA MADRE TERESA (KIKOLO - 58 - Prov. 5)"
escolas,"7d0bd58b","ESCOLA DOM FRANCISCO (NOVA VIDA - 62 - Prov. 5)"
escolas,"c7dfd01e","ESCOLA SÃO JOSÉ Nº 4425 (MUTAMBA - 57 - Prov. 5)"
escolas,"55b4bffa","ESCOLA DOM DAMIÃO DE NASCIMENTO (MORRO BENTO II - 68 - Prov. 5)"
escolas,"89a4d919","Escola de Formação Mutu Ya Kevela (Ingombota - 57 - Prov. 5)"
escolas,"ef360cfd","MAGISTÉRIO KIMAMUENHO (KIJOÃO - 45 - Prov. 4)"
escolas,"ddcc8722","NOSSSA Sª ANUNCIAÇÃO (BAIRRO DOS MORTELADOS - 55 - Prov. 4)"
escolas,"16033ee1","COLÉGIO CATAMBOR Nº 1129 (CATAMBOR - 67 - Prov. 5)"
escolas,"b9833e3c","FREDERICO ALFREDO (MORRO BENTO 2 - 68 - Prov. 5)"
escolas,"807d4c49","SÃO JOSÉ DE CLONI (MAIANGA - 67 - Prov. 5)"
escolas,"c9fee69a","ESCOLA TÉCNICA DOM FRANKLIN (PALANCA - 62 - Prov. 5)"
